menu_id,order1,order2,menu_items,message_order,icon,context,message_type
aura_context,0,Previous,0. *Previous*  Menu,1,:right_arrow_curving_up:,main_menu,
aura_context,none,none,Please type *0* to the previous menu or *menu* to the main menu,1,:backhand_index_pointing_up:,aura_context,
contact_context,none,contact,"Contact Details: 
 
 Name : Bhagavan 
 PhoneNumber : 9902996750",1,:mobile_phone:,contact_context,text
contact_context,0,Previous,0. *Previous*  Menu,1,:right_arrow_curving_up:,main_menu,
contact_context,none,none,Please type *0* to the previous menu or *menu* to the main menu,1,:backhand_index_pointing_up:,contact_context,
reviews_context,none,reviews,"https://www.google.com/maps/place/Aura+Networks/@12.940266,77.694559,16z/data=!4m5!3m4!1s0x0:0x682a83b2fd64fe23!8m2!3d12.939571!4d77.6949497?hl=en-US",1,:backhand_index_pointing_left:,reviews_context,text
reviews_context,0,Previous,0. *Previous*  Menu,1,:right_arrow_curving_up:,main_menu,
reviews_context,none,none,Please type *0* to the previous menu or *menu* to the main menu,1,:backhand_index_pointing_up:,reviews_context,
location_context,none,location,"https://www.google.com/maps/@12.9362741,77.6993249,13z?hl=en-IN",1,:backhand_index_pointing_left:,location_context,text
location_context,0,Previous,0. *Previous*  Menu,1,:right_arrow_curving_up:,main_menu,
location_context,none,none,Please type *0* to the previous menu or *menu* to the main menu,1,:backhand_index_pointing_up:,location_context,
